test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-077,Toolshop - Contact - Form - Guest sends a message with valid data,Verify that the contact form can be submitted by a visitor with valid data.,Manual,High,Regression,UI,Positive,1,Navigate to https://practicesoftwaretesting.com/contact.,"Contact form is displayed with first name, last name, email, subject, message and attachment fields."
,,,,,,,,2,"Fill valid values, select a subject (e.g. ""Customer service""), enter a sufficiently long message and submit.",A success confirmation is displayed.
TC-078,Toolshop - Contact - Form - Required-field validations,Verify that an empty submission shows a validation message per required field.,Manual,High,Regression,UI,Negative,1,Navigate to the contact page.,Contact form is displayed.
,,,,,,,,2,Submit the form with all fields empty.,A validation message is displayed for each required field and the message is not sent.
TC-079,Toolshop - Contact - Form - Logged-in user's message is linked to the account,Verify that a message sent while logged in lands in the user's account messages. Observed: identity fields are NOT prefilled (finding).,Manual,Medium,Regression,UI,Positive,1,Log in as a customer and open the contact page.,Contact form is displayed (identity fields are not prefilled - observed behavior).
,,,,,,,,2,"Fill the form, select a subject, enter a valid message and submit.",A success confirmation is displayed and the message appears under Account > Messages.
TC-080,Toolshop - Contact - Attachment - Allowed file is accepted,Verify that a permitted attachment can be submitted. Discovered rule: the file must be EMPTY (0 bytes).,Manual,Medium,Regression,UI,Positive,1,"On the contact page, fill the form with valid data.",Form is ready to submit.
,,,,,,,,2,Attach an empty (0 byte) .txt file and submit.,The message is sent successfully with the attachment.
TC-081,Toolshop - Contact - Attachment - Non-empty attachment is rejected,Verify the attachment rule: any non-empty file is rejected.,Manual,High,Regression,UI,Negative,1,"On the contact page, fill the form with valid data.",Form is ready to submit.
,,,,,,,,2,Attach a non-empty file (e.g. a .txt with content) and submit.,"""File should be empty."" validation error is displayed and the message is not sent."
TC-082,Toolshop - Contact - Form - Message shorter than the minimum length is rejected,Verify the minimum message length validation.,Manual,Medium,Regression,UI,Negative,1,"On the contact page, fill all fields but enter a very short message (e.g. ""help"").",Form displays the entered values.
,,,,,,,,2,Submit the form.,A validation message about the minimum message length is displayed and the message is not sent.
