test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-044,Toolshop - Cart - Content - Cart shows the added product with correct amounts,"Verify that the cart step lists the product with quantity, unit price, line price and a consistent total.",Manual,Highest,Smoke,UI,Positive,1,Add a product to the cart from its detail page.,Cart badge shows 1.
,,,,,,,,2,Navigate to https://practicesoftwaretesting.com/checkout.,"Cart step displays the product title, quantity, unit price and line price; the cart total equals the line price."
TC-045,Toolshop - Cart - Update - Changing quantity recalculates line price and total,Verify that editing the quantity in the cart updates the line price and cart total.,Manual,High,Regression,UI,Positive,1,Add a product to the cart and open the checkout page.,Cart step is displayed.
,,,,,,,,2,Change the quantity field of the cart line to 3.,Line price and cart total update to 3 x unit price; the cart badge shows 3.
TC-046,Toolshop - Cart - Remove - Product can be removed from the cart,Verify that removing the only product empties the cart.,Manual,High,Regression,UI,Positive,1,Add a product to the cart and open the checkout page.,Cart line is displayed.
,,,,,,,,2,Remove the product from the cart (delete control).,"The line disappears, an empty-cart state is shown and the cart badge is cleared."
TC-047,Toolshop - Cart - Content - Multiple products appear as separate lines,Verify that different products get their own cart lines and the total sums them.,Manual,Medium,Regression,UI,Positive,1,Add two different products to the cart.,Cart badge shows 2.
,,,,,,,,2,Open the checkout page.,Each product appears as its own line with its own quantity and line price; the cart total equals the sum of line prices.
TC-048,Toolshop - Cart - Update - Adding the same product again increases its quantity,Verify that re-adding a product merges into one line with a combined quantity.,Manual,Medium,Regression,UI,Edge,1,Add a product to the cart from its detail page.,Cart badge shows 1.
,,,,,,,,2,Add the same product again from its detail page.,The cart contains a single line for the product with the combined quantity (badge shows 2).
TC-049,Toolshop - Cart - Persistence - Cart is kept across navigation and page refresh,Verify that the cart survives navigating away and refreshing the browser.,Manual,Medium,Regression,UI,Positive,1,Add a product to the cart.,Cart badge shows 1.
,,,,,,,,2,"Navigate to the home page, return to the checkout page, and refresh the browser.",The cart still contains the product and the badge count is unchanged.
TC-050,Toolshop - Cart - Navigation - Continue shopping returns to the catalog and keeps the cart,Verify that the continue-shopping action does not lose the cart.,Manual,Medium,Regression,UI,Positive,1,Add a product and open the checkout page.,Cart step is displayed.
,,,,,,,,2,"Click ""Continue shopping"".",The catalog is displayed and the cart badge still shows the item.
TC-051,Toolshop - Cart - Empty - Checkout cannot proceed with an empty cart,Verify that an empty cart blocks progressing to the next checkout step.,Manual,High,Regression,UI,Negative,1,"With an empty cart, navigate to https://practicesoftwaretesting.com/checkout.",An empty-cart indication is displayed and proceeding to the next step is not possible.
