test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-098,Toolshop - API - Auth - Login returns a JWT for valid credentials,Verify the login endpoint issues a bearer token.,Manual,Highest,Smoke,API,Positive,1,Send POST /users/login with a valid email and password (JSON body).,"Response is 200 with access_token (JWT), token_type ""bearer"" and expires_in (about 300 seconds)."
TC-099,Toolshop - API - Auth - Login with wrong password returns 401,Verify the unauthorized response for bad credentials.,Manual,High,Regression,API,Negative,1,Send POST /users/login with a registered email and a wrong password.,"Response is 401 with body {""error"":""Unauthorized""}."
TC-100,Toolshop - API - Auth - Repeated failures lock the account,Verify the account lockout behavior at the API level.,Manual,High,Regression,API,Edge,1,Register a fresh user via POST /users/register.,Response is 201.
,,,,,,,,2,Send POST /users/login with the wrong password repeatedly (at least 5 times).,Each attempt returns 401.
,,,,,,,,3,Send POST /users/login with the correct password.,"Response is 423 with ""Account locked, too many failed attempts. Please contact the administrator.""."
TC-101,Toolshop - API - Auth - Register creates a user without exposing the password,Verify the registration endpoint response contract.,Manual,Highest,Smoke,API,Positive,1,"Send POST /users/register with valid unique data (nested address object, unique email, strong unique password).","Response is 201 with the user object (id, names, address); the password is not present in the response."
TC-102,Toolshop - API - Auth - Register returns 422 with per-field validation errors,Verify server-side validation of the registration payload.,Manual,High,Regression,API,Negative,1,Send POST /users/register with missing required fields and an invalid email format.,Response is 422 and the body contains a validation message per invalid or missing field.
TC-103,Toolshop - API - Auth - Register rejects breached passwords,Verify that the password policy includes a known-data-leak check.,Manual,High,Regression,API,Negative,1,"Send POST /users/register with valid data but a commonly breached password (e.g. ""Password123!"").","Response is 422 with ""The given password has appeared in a data leak. Please choose a different password.""."
TC-104,Toolshop - API - Auth - /users/me returns the authenticated profile,Verify the me endpoint returns the caller's own data.,Manual,High,Regression,API,Positive,1,Log in via the API and send GET /users/me with the Bearer token.,"Response is 200 with the user's own profile including id, email, address and totp_enabled."
TC-105,Toolshop - API - Auth - Protected endpoints require a valid token,Verify authentication is enforced on protected endpoints.,Manual,High,Regression,API,Negative,1,Send GET /users/me without an Authorization header.,Response is 401.
,,,,,,,,2,Send GET /users/me with a malformed or expired token.,Response is 401.
TC-106,Toolshop - API - Auth - Token refresh issues a new token,Verify the refresh endpoint returns a usable new token.,Manual,Medium,Regression,API,Positive,1,Log in via the API and send GET /users/refresh with the Bearer token.,Response is 200 with a new access_token different from the previous one and a fresh expiry.
TC-107,Toolshop - API - Users - A customer cannot delete accounts,Verify that user deletion is not allowed for the customer role.,Manual,High,Regression,API,Negative,1,Register and log in as a fresh user via the API.,A token is received.
,,,,,,,,2,Send DELETE /users/{ownId} with the user's own token.,"Response is 403 with ""Forbidden""."
TC-108,Toolshop - API - Users - Admin deletes a user without relations,Verify admin deletion of a clean user and the resulting login rejection.,Manual,High,Regression,API,Positive,1,Register a fresh user via the API (no orders).,Response is 201.
,,,,,,,,2,Send DELETE /users/{id} with an admin token.,Response is 204.
,,,,,,,,3,Attempt POST /users/login with the deleted user's credentials.,Response is 401.
TC-109,Toolshop - API - Users - Deleting a user with invoices returns 409,Verify that related records block user deletion.,Manual,High,Regression,API,Edge,1,"Register a user, log in and create an invoice for it (cart + POST /invoices).",The invoice is created.
,,,,,,,,2,Send DELETE /users/{id} with an admin token.,Response is 409 (conflict due to related records) and the user still exists.
TC-110,Toolshop - API - Products - Product listing returns a paginated structure,Verify the products list contract.,Manual,Highest,Smoke,API,Positive,1,Send GET /products.,"Response is 200 with pagination fields (current_page, data[], total); each item includes id, name and price."
TC-111,Toolshop - API - Products - Filtering and sorting parameters shape the result,Verify server-side filtering and sorting of products.,Manual,High,Regression,API,Positive,1,"Send GET /products with a category filter, a price range and ascending price sort (query parameters as documented in Swagger).",Response is 200 and contains only products matching the filters ordered by ascending price.
TC-112,Toolshop - API - Products - Search endpoint returns matching products,Verify the product search contract.,Manual,High,Regression,API,Positive,1,Send GET /products/search?q=pliers.,Response is 200 and every returned product name matches the search term.
TC-113,Toolshop - API - Products - Product by id and its related products,Verify single-product retrieval and the related endpoint.,Manual,Medium,Regression,API,Positive,1,Send GET /products/{id} for a known product.,"Response is 200 with full product data including category, brand and CO2/eco information."
,,,,,,,,2,Send GET /products/{id}/related.,Response lists other products from the same category; the product itself is not included.
TC-114,Toolshop - API - Products - Unknown product id returns 404,Verify structured not-found handling.,Manual,Medium,Regression,API,Negative,1,Send GET /products/{nonexistent-id}.,Response is 404 with a structured error message (no stack trace or server error).
TC-115,Toolshop - API - Categories - Category tree matches the storefront structure,Verify the category tree contract.,Manual,Medium,Regression,API,Positive,1,Send GET /categories/tree.,"Response is 200 with a nested tree (e.g. Hand Tools with sub-categories such as Hammer, Pliers) matching the storefront filter structure."
TC-116,Toolshop - API - Cart - Cart lifecycle via the API,"Verify cart creation, adding a product, quantity update and product removal.",Manual,High,Regression,API,Positive,1,Send POST /carts.,Response is 201 with a new cart id.
,,,,,,,,2,Add a product to the cart (POST /carts/{id}).,The product is added to the cart.
,,,,,,,,3,Update the product quantity (PUT /carts/{cartId}/product/quantity).,The quantity is updated.
,,,,,,,,4,Send GET /carts/{cartId}.,The cart content reflects the product and the updated quantity.
,,,,,,,,5,Delete the product from the cart (DELETE /carts/{cartId}/product/{productId}).,The cart no longer contains the product.
TC-117,Toolshop - API - Invoices - Authenticated order creation via the API,Verify creating an order through the API with a bearer token.,Manual,High,Regression,API,Positive,1,"Register a user, log in and create a cart with a product.",The cart is ready.
,,,,,,,,2,"Send POST /invoices with the cart id, billing address and payment details using the Bearer token.",Response is 201 with an invoice containing the billing address and a total matching the cart.
,,,,,,,,3,Send GET /invoices with the same token.,The created invoice is listed for the user.
TC-118,Toolshop - API - Invoices - Guest order creation,Verify the unauthenticated guest invoice endpoint.,Manual,Medium,Regression,API,Positive,1,"Create a cart with a product, then send POST /invoices/guest with guest contact data, billing address and payment details.",Response is 201 and an invoice is created without authentication.
TC-119,Toolshop - API - Invoices - PDF generation is asynchronous,Verify the async status flow of invoice PDF downloads.,Manual,Medium,Regression,API,Edge,1,"Create an invoice, then request GET /invoices/{invoice_number}/download-pdf-status.",The status endpoint reports the generation state.
