test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-001,Toolshop - Auth - Login - Customer logs in with valid credentials,Verify that a registered customer can log in with valid credentials and land on the account page.,Manual,Highest,Smoke,UI,Positive,1,Navigate to https://practicesoftwaretesting.com/auth/login.,Login page is displayed with Email and Password fields.
,,,,,,,,2,"Enter a registered customer's email and password, then click the Login button.","My account page (/account) is displayed; the navigation shows the user's name menu instead of ""Sign in""."
TC-002,Toolshop - Auth - Login - Error is shown for wrong password,Verify that logging in with a valid email but wrong password shows a generic error and does not authenticate the user.,Manual,High,Regression,UI,Negative,1,Navigate to the login page.,Login page is displayed.
,,,,,,,,2,Enter a registered email with an incorrect password and click the Login button.,"""Invalid email or password"" error is displayed; the user remains on the login page unauthenticated."
TC-003,Toolshop - Auth - Login - Unregistered email shows the same generic error,Verify that logging in with an unregistered email shows the same generic error so that user enumeration is not possible.,Manual,Medium,Regression,UI,Negative,1,Navigate to the login page.,Login page is displayed.
,,,,,,,,2,Enter an email that is not registered (e.g. nobody.12345@example.com) with any password and click the Login button.,"The same generic ""Invalid email or password"" error is displayed; the message does not reveal whether the email exists."
TC-004,Toolshop - Auth - Login - Empty form shows required-field validations,Verify that submitting the login form with empty fields shows required-field validation messages.,Manual,Medium,Regression,UI,Negative,1,Navigate to the login page.,Login page is displayed.
,,,,,,,,2,Leave Email and Password empty and click the Login button.,Required-field validation messages are displayed for both fields and no login is performed.
TC-005,Toolshop - Auth - Login - Invalid email format is rejected,Verify that an invalidly formatted email is rejected by field validation.,Manual,Medium,Regression,UI,Negative,1,Navigate to the login page.,Login page is displayed.
,,,,,,,,2,"Enter ""not-an-email"" into the Email field, enter any password, and click the Login button.",An email format validation message is displayed and login is not performed.
TC-006,Toolshop - Auth - Login - Account locks after repeated failed attempts,Verify that repeated failed login attempts lock the account and even the correct password is rejected afterwards.,Manual,High,Regression,UI,Edge,1,Create a fresh user via the API (POST /users/register) with a unique email.,User is created (HTTP 201).
,,,,,,,,2,"On the login page, attempt to log in with the user's email and a wrong password repeatedly (at least 5 times).",An error message is displayed on each failed attempt.
,,,,,,,,3,Attempt to log in with the user's email and the correct password.,"Login is rejected with ""Account locked, too many failed attempts. Please contact the administrator."""
TC-007,Toolshop - Auth - Register - New customer registers with valid data,Verify that a new customer can register with valid unique data and log in afterwards.,Manual,Highest,Smoke,UI,Positive,1,Navigate to https://practicesoftwaretesting.com/auth/register.,Customer registration form is displayed.
,,,,,,,,2,"Fill all fields with valid data (unique email, strong unique password, valid date of birth and address) and click the Register button.",Registration succeeds and the login page is displayed.
,,,,,,,,3,Log in with the newly registered email and password.,My account page is displayed.
TC-008,Toolshop - Auth - Register - Empty form shows a validation per required field,Verify that submitting the registration form empty shows a validation message for each required field.,Manual,High,Regression,UI,Negative,1,Navigate to the registration page.,Customer registration form is displayed.
,,,,,,,,2,Leave all fields empty and click the Register button.,A required-field validation message is displayed for each mandatory field and no user is created.
TC-009,Toolshop - Auth - Register - Duplicate email is rejected,Verify that registering with an email that already belongs to an account is rejected.,Manual,Medium,Regression,UI,Negative,1,Create a user via the API with a unique email.,User is created.
,,,,,,,,2,"On the registration page, fill the form with valid data using the same email and click the Register button.",Registration is rejected with a duplicate-email error message and no second user is created.
TC-010,Toolshop - Auth - Register - Breached password is rejected by the password policy,Verify that a password known from public data leaks is rejected even if it meets complexity rules.,Manual,High,Regression,UI,Negative,1,Navigate to the registration page.,Customer registration form is displayed.
,,,,,,,,2,"Fill the form with valid unique data but use a commonly breached password (e.g. ""Password123!"") and click the Register button.","Registration is rejected with ""The given password has appeared in a data leak. Please choose a different password."""
TC-011,Toolshop - Auth - Forgot Password - Registered email gets a confirmation,Verify that the forgot-password form accepts a registered email and shows a confirmation.,Manual,Medium,Regression,UI,Positive,1,Navigate to https://practicesoftwaretesting.com/auth/forgot-password.,Forgot Password page is displayed with an email field.
,,,,,,,,2,Enter a registered email and submit the form.,A success/confirmation message is displayed.
TC-012,Toolshop - Auth - Logout - Customer signs out and loses access to protected pages,Verify that a logged-in customer can sign out and protected pages become inaccessible afterwards.,Manual,High,Regression,UI,Positive,1,Log in as a customer.,My account page is displayed.
,,,,,,,,2,"Open the user's name menu in the navigation and click ""Sign out"".","User is signed out and the navigation shows ""Sign in"" again."
,,,,,,,,3,Navigate directly to https://practicesoftwaretesting.com/account.,User is redirected to the login page.
TC-013,Toolshop - Auth - Authorization - Guest is redirected to login on protected pages,Verify that unauthenticated visitors cannot open account pages directly.,Manual,High,Regression,UI,Negative,1,"Without logging in, navigate directly to https://practicesoftwaretesting.com/account.",User is redirected to the login page (/auth/login).
,,,,,,,,2,"Without logging in, navigate directly to https://practicesoftwaretesting.com/account/invoices.",User is redirected to the login page.
TC-014,Toolshop - Auth - Authorization - Customer cannot access admin pages,Verify that a customer role cannot open admin pages directly.,Manual,High,Regression,UI,Negative,1,Log in as a customer.,My account page is displayed.
,,,,,,,,2,Navigate directly to https://practicesoftwaretesting.com/admin/dashboard.,Access is denied: the user is redirected to the login page and no admin content is shown.
TC-015,Toolshop - Auth - Login - Admin logs in and lands on the admin dashboard,Verify that the admin account logs in and is routed to the admin dashboard with the admin menu.,Manual,Highest,Smoke,UI,Positive,1,Navigate to the login page.,Login page is displayed.
,,,,,,,,2,Enter the admin email and password and click the Login button.,"Admin dashboard (/admin/dashboard) is displayed with the admin menu (Brands, Categories, Products, Orders, Users, Messages, Settings, Statistics)."
