test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-016,Toolshop - Product Discovery - Listing - Home page shows the product grid with core information,"Verify that the home page lists products with name, price and CO2 rating and shows pagination.",Manual,Highest,Smoke,UI,Positive,1,Navigate to https://practicesoftwaretesting.com.,"Product grid is displayed; each product card shows the product name, price and a CO2 rating badge (A-E)."
,,,,,,,,2,Scroll to the bottom of the listing.,Pagination controls are displayed below the grid.
TC-017,Toolshop - Product Discovery - Search - Search returns products matching the term,Verify that searching by a keyword returns only related products with a result caption and count.,Manual,Highest,Smoke,UI,Positive,1,Navigate to the home page.,Product grid is displayed.
,,,,,,,,2,"Enter ""pliers"" into the search field and click the Search button.","""Searched for: pliers"" caption and a result count are displayed; all returned product names are related to pliers (e.g. Combination Pliers, Long Nose Pliers)."
TC-018,Toolshop - Product Discovery - Search - No results state for an unmatched term,Verify that a term with no matches shows a clear zero-result state instead of an error.,Manual,High,Regression,UI,Negative,1,Navigate to the home page.,Product grid is displayed.
,,,,,,,,2,"Enter ""qwertyxyz123"" into the search field and click the Search button.",No products are listed and the UI clearly indicates zero results; no error page appears.
TC-019,Toolshop - Product Discovery - Search - Reset clears the search and restores the full listing,Verify that the search reset button clears the term and restores the default grid.,Manual,Medium,Regression,UI,Positive,1,"Search for ""pliers"" from the home page.",Search results are displayed with the search caption.
,,,,,,,,2,Click the search reset (X) button.,The search caption disappears and the full default product grid is restored.
TC-020,Toolshop - Product Discovery - Filters - Single category filter narrows the listing,Verify that checking one category shows only products belonging to it.,Manual,High,Regression,UI,Positive,1,Navigate to the home page.,Category filter checkboxes are displayed in the sidebar.
,,,,,,,,2,"Check a single category (e.g. ""Pliers"" under Hand Tools).","The grid updates to show only products of that category (e.g. Combination Pliers is listed, unrelated products such as drills are not)."
,,,,,,,,3,Uncheck the category.,The full listing is restored.
